Name,Position,OverallRating
Sam Mitchell,SF,69
Sam Perkins,SF,70
Scot Pollard,SF,69
Scottie Pippen,SF,71
Sean Elliott,SF,70
Sean Rooks,SF,68
Shandon Anderson,SF,69
Shaquille O'Neal,SF,71
Stacey Augmon,SF,68
Stanley Roberts,SF,66
Steve Kerr,SF,69
Steven Smith,SF,70
Tariq Abdul-Wahad,SF,69
Terrell Brandon,SF,72
Terry Porter,SF,71
Theo Ratliff,SF,69
Thurl Bailey,SF,69
Tim Duncan,SF,71
Tim Hardaway,SF,70
Tim Thomas,SF,69
Todd Fuller,SF,68
Tom Gugliotta,SF,69
Tom Hammonds,SF,71
Travis Best,SF,70
Travis Knight,SF,70
Tyrone Corbin,SF,69
Tyrone Hill,SF,68
Tyronn Lue,SF,70
Vernon Maxwell,SF,69
Vlade Divac,SF,71
Voshon Lenard,SF,71
Walt Williams,SF,69
Will Perdue,SF,68
A.C. Green,SF,68
Aaron McKie,SF,71
Allan Houston,SF,69
Allen Iverson,SF,70
Alonzo Mourning,SF,70
Alvin Williams,SF,64
Anfernee Hardaway,SF,71
Anthony Carter,SF,71
Anthony Mason,SF,70
Anthony Peeler,SF,69
Antonio Daniels,SF,70
Antonio Davis,SF,70
Armen Gilliam,SF,68
Arvydas Sabonis,SF,70
Austin Croshere,SF,70
Avery Johnson,SF,71
Baron Davis,SF,70
Bobby Jackson,SF,72
Bonzi Wells,SF,71
Brad Miller,SF,70
Brent Barry,SF,69
Brian Grant,SF,69
Brian Shaw,SF,70
Bruce Bowen,SF,69
Bryon Russell,SF,69
Charles Oakley,SF,70
Charlie Ward,SF,71
Chris Childs,SF,70
Chris Dudley,SF,70
Chris Mullin,SF,70
Chris Webber,SF,72
Christian Laettner,SF,70
Chuck Person,SF,65
Clar. Weatherspoon,SF,69
Clifford Robinson,SF,69
Corie Blount,SF,69
Corliss Williamson,SF,70
Dale Davis,SF,69
Damon Stoudamire,SF,70
Dan Majerle,SF,70
Danny Manning,SF,65
Darrick Martin,SF,71
Darvin Ham,SF,69
David Robinson,SF,71
David Wesley,SF,70
Dean Garrett,SF,68
Dee Brown,SF,67
Dell Curry,SF,69
Derek Fisher,SF,70
Derrick Coleman,SF,71
Derrick Dial,SF,69
Derrick McKey,SF,69
Detlef Schrempf,SF,70
Devean George,SF,69
Doug Christie,SF,69
Eddie Jones,SF,70
Eddie Robinson,SF,69
Elden Campbell,SF,69
Eric Montross,SF,65
Eric Snow,SF,72
Ervin Johnson,SF,69
Gary Grant,SF,69
Gary Payton,SF,72
George Lynch,SF,68
Glen Rice,SF,69
Glenn Robinson,SF,69
Grant Hill,SF,72
Greg Anthony,SF,70
Greg Foster,SF,68
Greg Ostertag,SF,68
Horace Grant,SF,68
Howard Eisley,SF,69
Ira Bowman,SF,68
Jacque Vaughn,SF,72
Jalen Rose,SF,70
Jamal Mashburn,SF,70
Jaren Jackson,SF,67
Jason Kidd,SF,71
Jason Williams,SF,69
Jeff Hornacek,SF,70
Jelani McCoy,SF,68
Jermaine O'Neal,SF,68
Jerome Kersey,SF,67
Jerome Williams,SF,69
Jerry Stackhouse,SF,71
Joe Smith,SF,68
John Crotty,SF,68
John Salley,SF,69
John Stockton,SF,72
John Thomas,SF,64
John Wallace,SF,66
Jon Barry,SF,71
Jonathan Bender,SF,70
Jud Buechler,SF,68
Jumaine Jones,SF,67
Karl Malone,SF,72
Kevin Garnett,SF,72
Kevin Johnson,SF,70
Kevin Ollie,SF,71
Kevin Willis,SF,70
Kobe Bryant,SF,70
Kurt Thomas,SF,69
Larry Johnson,SF,69
Latrell Sprewell,SF,70
Lawrence Funderburke,SF,69
Lazaro Borrell,SF,70
Lindsey Hunter,SF,68
Loy Vaught,SF,66
Luc Longley,SF,68
Malik Rose,SF,69
Malik Sealy,SF,69
Marcus Camby,SF,68
Mario Elie,SF,69
Mark Jackson,SF,72
Mark Strickland,SF,67
Matt Geiger,SF,70
Michael Curry,SF,69
Mikki Moore,SF,71
Mirsad Turkcan,SF,68
Muggsy Bogues,SF,68
Nick Anderson,SF,68
Olden Polynice,SF,69
Oliver Miller,SF,67
Otis Thorpe,SF,69
P.J. Brown,SF,69
Patrick Ewing,SF,69
Peja Stojakovic,SF,68
Quincy Lewis,SF,68
Rafer Alston,SF,66
Randy Livingston,SF,68
Rashard Lewis,SF,69
Rasheed Wallace,SF,70
Rasho Nesterovic,SF,68
Ray Allen,SF,70
Reggie Miller,SF,70
Rick Brunson,SF,73
Rick Fox,SF,69
Rik Smits,SF,70
Robert Horry,SF,69
Robert Traylor,SF,74
Rodney Buford,SF,70
Rodney Rogers,SF,70
Ron Harper,SF,69
Ruben Patterson,SF,70
Sam Cassell,SF,71
Sam Mitchell,SF,69
Sam Perkins,SF,68
Samaki Walker,SF,69
Scot Pollard,SF,69
Scott Padgett,SF,70
Scott Williams,SF,70
Scottie Pippen,SF,70
Sean Elliott,SF,69
Shammond Williams,SF,72
Shaquille O'Neal,SF,71
Shawn Marion,SF,69
Stacey Augmon,SF,67
Steven Smith,SF,70
Terrell Brandon,SF,72
Terry Mills,SF,70
Terry Porter,SF,68
Theo Ratliff,SF,69
Tim Hardaway,SF,70
Tim Thomas,SF,70
Toby Bailey,SF,70
Todd Day,SF,69
Todd MacCulloch,SF,70
Tom Hammonds,SF,64
Toni Kukoc,SF,69
Tony Delk,SF,70
Tracy McGrady,SF,70
Travis Best,SF,71
Travis Knight,SF,68
Tyrone Corbin,SF,69
Tyrone Hill,SF,69
Vin Baker,SF,69
Vince Carter,SF,72
Vinny Del Negro,SF,69
Vlade Divac,SF,70
Wally Szczerbiak,SF,68
Zan Tabak,SF,69
A.C. Green,SF,69
Aaron McKie,SF,70
Al Harrington,SF,67
Allan Houston,SF,70
Allen Iverson,SF,71
Alonzo Mourning,SF,69
Alvin Williams,SF,69
Andrew DeClercq,SF,69
Anthony Carter,SF,71
Anthony Mason,SF,68
Anthony Peeler,SF,68
Antonio Daniels,SF,70
Antonio Davis,SF,70
Antonio Harvey,SF,66
Arvydas Sabonis,SF,70
Austin Croshere,SF,69
Avery Johnson,SF,70
Baron Davis,SF,71
Bo Outlaw,SF,70
Bobby Jackson,SF,69
Brian Grant,SF,69
Brian Shaw,SF,70
Bruce Bowen,SF,68
Bryon Russell,SF,70
Calvin Booth,SF,68
Cedric Ceballos,SF,69
Charles Oakley,SF,69
Charlie Ward,SF,69
Chauncey Billups,SF,68
Chris Childs,SF,71
Chris Dudley,SF,68
Chris Webber,SF,70
Clifford Robinson,SF,69
Dale Davis,SF,66
Damon Stoudamire,SF,70
Dan Majerle,SF,69
Daniel Santiago,SF,69
Danny Ferry,SF,69
Danny Manning,SF,70
Darrell Armstrong,SF,70
Darrick Martin,SF,70
Darvin Ham,SF,69
David Benoit,SF,69
David Robinson,SF,71
David Wesley,SF,70
DeShawn Stevenson,SF,68
Dean Garrett,SF,68
Dee Brown,SF,70
Dell Curry,SF,69
Derek Anderson,SF,69
Derek Fisher,SF,70
Derrick Coleman,SF,69
Derrick McKey,SF,70
Detlef Schrempf,SF,70
Devean George,SF,70
Dikembe Mutombo,SF,69
Dirk Nowitzki,SF,70
Don Reid,SF,70
Donyell Marshall,SF,69
